ZipCode,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
 ,3,2,7,6,9,23,43,0,0,0,2,2,0,0,0,4,93,6,6,7,8,6,3,1,2,0,0,3,3,2,5,4,5,4,4,4,3,4,4,5,8,11,12,8,10,16,18,22,23,18,6,3,0,6,11,2,1,4,13,8,2,12,6,12,11,12,2,2,9,7,2,1,5,1,0,4,0,1,0,1,1,7,6,13,4,3,1,1,0,45.4322097367562,44.8166666348775,4.1,100.566666666667,97,6.36082474226804,2,1,22,45485.1284313693,30457.5250000159,14.0833333015442,207633.566666635,758.085473856155,507.625416666932,.234722221692403,3460.55944444391,31.5868947440065,21.1510590277888,.0097800925705168,144.18997685183,46.895185048822,2.15463917525773,2,0,8,27,0,14,41,16,2,46,6,19,0,41,5,25,18,5,0,32,21,3,26,0,42,2,29,10,15,8,35,4,5,31,6,37,1,24,5,6.19587628865979,5,0,15,2.08139534883721,1,1,5
10001,16,8,12,11,14,10,5,8,19,8,5,5,0,0,38,49,34,7,6,7,7,11,10,7,7,4,3,2,1,2,4,1,1,4,3,5,3,4,7,9,6,16,21,13,20,18,15,18,40,31,4,1,1,1,34,1,0,0,18,1,2,20,12,7,14,29,17,10,8,6,3,0,3,1,0,0,0,1,0,1,0,0,1,23,8,5,1,1,1,48.3649371066183,44.6833333492279,4.03333330154419,112.216666698456,121,80.0082644628099,98,1,98,1059053.10929203,1151938.91666667,18.7666666348775,1151938.91666667,17650.8851548672,19198.9819444444,.312777777247959,19198.9819444444,735.453548119468,799.957581018519,.0130324073853316,799.957581018519,48.6141584980029,2.45454545454545,2,0,9,98,98,2,115,98,0,114,98,0,0,101,99,98,6,98,0,106,98,98,98,0,98,0,100,0,103,98,115,98,100,105,105,105,98,0,98,21.8842975206612,26,0,26,2.03738317757009,2,1,5
10002,6,7,2,6,5,3,4,2,2,3,3,9,0,0,3,30,19,9,6,8,8,3,2,2,2,2,2,0,1,0,1,0,0,1,0,0,1,1,1,0,2,9,6,6,6,13,2,10,16,20,5,1,0,0,9,1,1,2,7,6,6,3,1,2,5,13,0,0,1,5,1,0,0,0,0,10,1,0,0,0,0,0,0,17,9,6,0,0,0,53.3131205660232,53.5833333333333,9.13333333333333,109.800000031789,52,12.3846153846154,6,1,25,265996.743055577,377232.050000032,20166.4333333333,377232.050000032,4433.27905092627,6287.20083333386,336.107222222222,6287.20083333386,184.719960455262,261.966701388911,14.0044675925926,261.966701388911,53.2893939368097,2.73076923076923,2.5,0,11,0,0,0,32,1,3,40,0,2,1,30,0,27,23,0,0,26,1,0,2,0,24,0,24,24,7,0,30,0,29,33,31,33,0,0,23,8.57692307692308,5,0,15,2.04081632653061,2,1,5
10003,8,10,8,13,13,14,10,4,3,5,9,11,0,3,8,57,40,10,13,13,7,3,4,5,1,0,0,3,0,1,4,5,2,2,3,6,3,6,5,3,9,18,16,14,17,16,16,11,24,21,6,2,2,2,18,2,6,2,26,9,17,10,1,18,16,24,3,4,3,3,4,2,0,0,0,6,2,1,0,1,0,1,0,20,8,4,0,0,0,52.3869281020819,49.6916666507721,6.36666663487752,115.050000031789,108,6.57407407407407,2,1,23,344562.444776101,255452.45,302.433333269755,675746.016666667,5742.70741293501,4257.54083333333,5.04055555449592,11262.4336111111,239.279475538959,177.397534722222,.210023148103997,469.26806712963,51.7825344771217,2.41666666666667,2,0,12,0,2,3,49,2,29,56,0,5,2,53,8,32,28,7,0,15,1,1,3,0,46,0,26,10,28,0,59,5,8,28,13,28,0,1,5,5.12037037037037,5,0,12,2.34375,2.5,1,5
10004,3,1,0,3,2,2,2,2,2,0,2,2,0,1,5,8,7,3,2,1,0,3,0,0,0,0,0,1,0,2,0,0,0,2,0,2,0,1,0,1,3,3,3,1,6,4,1,3,5,3,1,1,0,0,5,0,1,3,3,2,2,3,2,0,3,6,0,2,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,60.2541666618983,61.2,10.1166666666667,105.283333365122,21,1.57142857142857,1,1,3,172926.17962963,8077.53333333333,116.016666666667,513109.716666667,2882.10299382716,134.625555555556,1.93361111111111,8551.82861111111,120.087624742798,5.60939814814815,.0805671296296296,356.32619212963,62.3984126953852,2.33333333333333,2,0,8,0,0,0,7,0,1,8,0,5,0,3,2,2,2,0,0,3,3,0,3,0,0,0,4,3,1,0,8,0,0,4,3,5,0,0,1,3.23809523809524,3,0,8,2.7,3,1,5
10005,7,10,15,15,9,14,21,10,3,11,12,8,3,6,43,51,32,14,12,14,14,10,1,2,2,2,2,0,1,4,1,2,4,4,2,3,9,6,4,10,12,24,22,15,17,18,16,23,40,22,10,7,1,3,15,4,5,2,36,17,2,15,1,12,32,25,0,3,6,9,2,2,3,0,0,14,1,0,0,1,0,3,0,16,5,4,1,2,1,49.3233871003633,42.5916666825612,5.10000003178914,114.933333365122,135,5.97037037037037,2,1,23,448958.157729452,570014.566666667,61.35,1160363.34999997,7482.63596215752,9500.24277777778,1.0225,19339.3891666661,311.77649842323,395.843449074074,.0426041666666667,805.807881944422,51.1204960098299,2.22962962962963,1,0,9,3,2,10,53,9,17,72,0,8,1,68,3,31,24,0,0,47,1,6,15,0,44,0,54,49,20,0,57,0,9,21,11,31,3,13,2,5.06666666666667,4,0,16,2.73504273504274,3,1,5
10007,4,5,6,11,5,11,21,3,3,1,8,9,5,2,9,31,40,7,6,6,10,3,1,3,3,1,1,0,5,3,1,3,9,4,1,2,2,3,5,4,4,11,20,7,12,10,11,16,28,23,6,2,0,1,12,1,0,0,16,12,3,9,0,1,21,12,0,2,0,7,3,3,1,1,0,4,0,0,0,0,0,0,0,18,8,5,1,1,0,48.9237804909062,48.0916666666667,4.75000003178914,106.766666634878,87,3.50574712643678,2,1,13,220994.025850339,113900.833333333,46.8500000317891,971924.766666667,3683.23376417231,1898.34722222222,.780833333863152,16198.7461111111,153.46807350718,79.0978009259259,.032534722244298,674.94775462963,49.1860980426564,2.16091954022989,1,0,10,2,0,2,31,4,0,46,2,0,0,35,3,27,7,0,0,15,0,0,0,0,1,0,42,15,12,0,24,0,18,27,18,39,11,0,11,4.50574712643678,3,0,14,2.57692307692308,3,1,5
10009,1,0,1,0,3,2,2,2,0,0,1,1,0,1,4,5,3,0,2,0,1,1,2,0,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,3,3,2,2,1,2,0,3,1,1,0,0,0,4,0,0,0,2,1,0,2,0,2,3,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46.1597222301695,44.4500000158946,5.25000003178914,115.299999968211,13,1.15384615384615,1,1,2,297.266666603088,297.266666603088,297.266666603088,297.266666603088,4.95444444338481,4.95444444338481,4.95444444338481,4.95444444338481,.206435185141034,.206435185141034,.206435185141034,.206435185141034,46.1597222301695,2,2,0,5,0,0,0,4,0,0,4,0,0,0,3,0,1,0,0,0,2,0,0,0,0,3,0,3,0,1,0,5,0,0,1,0,1,0,0,2,2.30769230769231,2,0,5,3,3,1,5
10010,83,77,116,111,125,139,147,55,50,62,115,83,13,68,193,471,418,77,96,90,100,73,46,43,14,15,18,11,13,14,23,28,53,47,46,55,53,49,58,83,58,183,154,147,186,184,160,149,324,193,97,55,14,15,207,20,19,45,207,101,16,99,32,106,227,194,23,34,36,69,51,11,22,7,1,50,11,5,0,4,2,6,6,152,69,47,22,7,5,49.2002201259961,45.5916666507721,1.00000003178914,115.900000031789,1163,5.68443680137575,2,1,35,357526.313328561,236507.65,6.29999996821086,1705632.6333333,5958.77188880936,3941.79416666667,.104999999470181,28427.210555555,248.282162033723,164.241423611111,.00437499997792421,1184.46710648146,50.0764582220004,2.11865864144454,2,0,14,62,31,39,467,60,76,613,13,150,43,467,95,316,30,9,0,325,115,37,104,2,297,7,392,156,235,19,471,73,142,336,190,394,108,79,137,5.23645743766122,4,0,19,2.53279515640767,3,1,5
10011,12,13,16,19,29,28,23,8,8,10,21,32,6,25,35,77,76,18,13,18,18,14,10,10,10,1,3,2,2,6,4,5,3,12,9,8,9,9,12,12,11,30,36,30,24,26,41,32,69,38,17,4,2,5,34,5,4,4,26,18,5,25,8,18,44,32,2,6,4,11,5,3,2,0,0,10,2,0,0,0,0,3,2,35,15,11,3,2,1,48.7966183567201,46.4666666666667,4.03333336512248,113.799999968211,219,3.60730593607306,2,1,16,231412.38779762,176741.716666667,11.5500000317891,836658.716666698,3856.87312996032,2945.69527777778,.192500000529819,13944.311944445,160.70304708168,122.737303240741,.00802083335540913,581.012997685207,48.7136635214578,2.07305936073059,2,0,9,6,2,11,66,7,16,106,0,7,3,40,6,37,6,0,0,59,15,0,8,0,51,0,68,32,29,6,55,6,25,60,29,61,5,4,18,3.85388127853881,3,0,12,2.47540983606557,3,1,5
10012,7,3,7,6,6,17,15,2,1,2,8,8,0,2,7,30,43,3,8,11,2,3,2,3,0,4,0,0,0,2,2,5,3,1,5,3,5,4,3,8,5,12,12,11,10,13,15,9,20,10,6,2,0,1,14,1,3,2,13,7,2,9,0,13,19,10,2,3,7,7,1,1,1,0,0,6,0,0,2,0,1,1,0,6,0,0,0,1,0,45.9408333365123,42.6666666666667,2.21666666666667,101.116666698456,82,3.14634146341463,2,1,11,182460.03925925,34798.5333333015,1366.33333330154,689261.7,3041.00065432083,579.975555555026,22.7722222216924,11487.695,126.708360596701,24.1656481481261,.948842592570517,478.653958333333,45.9614369022503,1.95121951219512,2,0,7,1,0,1,26,1,3,36,0,3,0,17,15,13,2,0,11,12,0,0,12,0,23,3,22,16,12,0,22,5,2,14,2,19,0,3,2,3.63414634146341,3,0,8,2.64473684210526,3,1,5
10013,19,16,23,16,14,23,26,7,10,12,23,9,0,9,31,75,83,12,11,17,15,6,8,7,5,1,3,2,3,4,3,9,10,9,11,8,8,11,10,11,14,38,25,25,24,16,34,36,65,25,21,5,3,4,47,6,4,3,39,22,1,19,6,16,35,57,5,0,5,13,5,0,4,2,0,13,0,2,0,0,0,1,2,20,11,9,5,3,1,48.6312612616049,46.9333333651225,4.41666666666667,110.233333333333,198,4.92929292929293,2,1,20,317449.761680912,122339.066666698,16.9,911178.033333333,5290.82936134854,2038.98444444497,.281666666666667,15186.3005555556,220.451223389522,84.9576851852073,.0117361111111111,632.762523148148,49.310286901874,2.30808080808081,2,0,10,7,13,7,85,8,5,120,3,15,0,69,0,66,1,4,0,52,14,0,8,0,52,0,46,37,54,2,100,9,28,57,32,63,26,7,8,5.04040404040404,4,0,14,2.58378378378378,3,1,5
10014,25,11,46,26,29,40,36,21,14,11,27,26,4,23,64,110,111,18,18,20,26,20,17,16,11,7,5,11,2,3,8,13,13,10,13,16,12,12,11,11,19,42,48,49,47,48,48,30,63,41,21,8,4,6,57,4,5,8,45,28,6,28,8,35,72,54,7,9,16,20,7,2,7,1,0,18,3,1,0,3,0,3,3,28,9,4,0,1,1,50.31856465334,46.9,5.11666663487752,111.716666698456,312,4.08653846153846,2,1,20,423868.411834323,132890.6,19.1166666984558,1681379.23333337,7064.47353057205,2214.84333333333,.31861111164093,28022.9872222227,294.353063773836,92.2851388888889,.0132754629850388,1167.62446759261,50.8806092631151,1.93589743589744,1,0,10,24,17,15,129,7,8,123,1,20,5,73,15,53,7,2,0,87,22,15,55,0,96,0,104,40,46,14,130,12,5,48,26,64,0,18,21,4.17307692307692,3,0,22,2.55859375,3,1,5
10016,9,14,10,7,12,6,7,8,7,7,19,27,0,43,32,36,22,4,13,12,12,5,4,4,6,1,1,2,2,6,6,2,4,9,5,11,7,5,5,4,3,15,22,13,16,22,23,22,40,15,2,1,0,0,18,1,0,2,15,6,0,15,0,13,55,17,1,8,3,7,6,0,2,1,0,8,0,1,0,0,0,0,0,13,5,3,0,0,0,53.35969696883,53.4166666507721,9.31666666666667,115.266666698456,133,28.7443609022556,13,1,59,792173.329127739,1086358.78333337,494.850000031789,1135171.26666663,13202.8888187957,18105.9797222228,8.24750000052982,18919.5211111106,550.12036744982,754.415821759281,.343645833355409,788.313379629608,55.0491011076666,1.8796992481203,2,0,7,4,0,0,85,59,0,102,4,14,0,93,74,64,0,4,0,91,0,0,7,0,91,0,94,63,5,0,85,1,7,25,10,84,0,0,17,8.14285714285714,9,0,12,2.75,3,1,5
10017,0,0,1,0,1,0,0,4,1,1,4,0,2,4,2,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,2,2,2,1,2,0,3,5,1,0,1,0,0,0,0,0,1,3,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,51.0972222248713,48.1333333174388,13.6500000317891,106.083333365122,12,1.33333333333333,1,1,2,23144.5499999841,23144.5499999841,81.2999999682109,46207.8,385.742499999735,385.742499999735,1.35499999947018,770.13,16.0726041666556,16.0726041666556,.0564583333112575,32.08875,51.0972222248713,1.33333333333333,1.5,0,3,0,0,0,0,0,0,6,0,1,0,3,0,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1.58333333333333,2,0,3,3.22222222222222,3,1,5
10019,4,1,3,7,10,8,5,5,7,7,15,6,0,5,24,26,23,7,5,4,4,4,2,0,2,2,1,1,3,3,4,1,2,2,2,6,7,4,4,3,5,20,11,7,11,10,9,10,23,13,6,1,1,0,21,3,1,2,19,9,0,6,1,6,17,26,0,2,0,3,5,1,0,1,0,4,2,2,0,0,0,0,0,11,5,3,1,0,0,52.7753623146942,44.9666666348775,6.83333336512248,113.966666666667,78,3.12820512820513,2,1,9,295361.897083349,236773.116666683,49.7833333333333,553692.499999968,4922.69828472248,3946.21861111138,.829722222222222,9228.2083333328,205.112428530104,164.425775462974,.0345717592592593,384.508680555533,53.3821111058835,2.43589743589744,2,0,10,0,2,0,30,3,2,38,1,10,2,32,9,28,0,2,0,16,1,0,0,0,7,0,37,6,16,0,36,0,7,23,9,33,5,0,10,4.67948717948718,3,0,11,2.73611111111111,3,1,5
10021,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.6,39.6,35.6833333015442,43.5166666984558,2,1,1,1,1, , , , , , , , , , , , ,39.6,4,4,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,4,4,2,6,1,1,1,1
10022,0,1,1,1,1,1,2,0,2,2,2,0,0,0,0,7,6,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,5,0,2,2,1,1,2,0,3,0,2,0,0,1,0,1,0,4,1,0,0,1,2,0,3,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,49.1121212294607,41.6666666984558,21.6000000317891,108.916666666667,13,6.07692307692308,9,1,9,349254.236666648,436332.183333302,942.450000031789,436332.183333302,5820.90394444413,7272.20305555503,15.7075000005298,7272.20305555503,242.537664351839,303.008460648126,.654479166688743,303.008460648126,54.4070987819154,2,2,0,6,0,0,0,8,0,8,0,0,0,0,11,0,2,0,0,0,0,1,0,1,0,2,0,0,8,0,0,8,0,1,4,3,4,0,0,8,5.30769230769231,6,2,6,2.72727272727273,3,1,5
10023,1,0,0,1,0,0,3,0,0,0,1,0,0,0,5,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,2,0,0,2,0,1,0,0,0,2,0,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.1233333333333,48.8333333015442,34.8833333333333,109.183333301544,6,2.33333333333333,2.5,1,3,179751.266666635,297794.266666635,2686.76666663488,297794.266666635,2995.85444444391,4963.23777777725,44.7794444439146,4963.23777777725,124.827268518496,206.801574074052,1.86581018516311,206.801574074052,54.6500000105964,2.16666666666667,2,0,5,0,0,0,3,0,0,5,0,0,0,3,0,1,3,0,0,2,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,3.83333333333333,4,3,5,2.4,3,1,3
10025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,74.6500000317891,74.6500000317891,74.6500000317891,74.6500000317891,1,1,1,1,1, , , , , , , , , , , , ,74.6500000317891,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,4,4,4,1,1,1,1
10026,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,43.2999999920527,33.25,8.11666669845581,98.583333269755,5,1,1,1,1, , , , , , , , , , , , ,43.2999999920527,1.2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1.2,0,0,5,2.33333333333333,1,1,5
10028,13,12,16,7,21,21,17,7,6,6,15,15,1,8,17,68,62,15,9,14,13,11,5,9,3,4,3,0,0,4,4,4,2,1,6,4,5,8,11,9,12,17,23,22,17,26,20,31,34,32,25,3,2,2,28,2,3,4,30,17,7,9,5,16,27,29,4,4,4,5,5,1,5,1,0,11,2,0,0,0,0,1,0,24,10,8,2,1,1,47.1602564095895,43.8166666666667,2.03333333333333,113.283333333333,156,4.03205128205128,1,1,22,454524.217910447,148676.183333333,21.6833333333333,1168230.0333333,7575.40363184078,2477.93638888889,.361388888888889,19470.500555555,315.641817993366,103.247349537037,.0150578703703704,811.270856481459,47.0741893415927,2.26282051282051,2,0,8,8,2,5,51,2,6,60,1,23,3,54,23,42,7,0,0,28,7,0,6,0,41,0,33,14,39,0,56,4,25,42,26,50,2,2,21,4.37820512820513,3,0,15,2.31914893617021,3,1,5
10029,14,20,35,21,18,21,25,8,12,8,24,15,5,16,35,77,88,16,18,16,13,21,7,9,3,1,0,4,6,4,4,6,10,5,8,12,8,15,10,12,13,32,41,21,38,27,36,26,56,46,20,4,2,2,39,0,8,3,45,22,9,30,9,11,37,42,4,4,9,25,2,5,6,0,1,11,0,4,0,0,1,0,0,41,15,8,1,1,1,49.4309294853455,44.3083333333333,3.43333333333333,114.433333333333,221,3.50226244343891,2,1,14,230456.868487392,95093.1333333333,2600.98333333333,782024.866666667,3840.9478081232,1584.88555555556,43.3497222222222,13033.7477777778,160.039492005133,66.0368981481482,1.80623842592593,543.072824074074,49.3174146766055,2.20814479638009,2,0,9,22,2,2,76,0,25,97,0,13,0,99,6,70,27,9,0,75,12,6,21,1,32,4,68,30,47,0,97,13,28,79,35,86,1,6,3,4.94117647058824,4,0,17,2.51776649746193,3,1,5
10030,1,0,0,1,1,4,1,2,0,1,0,0,0,2,0,6,3,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,2,0,0,0,0,1,1,3,0,3,0,3,7,5,0,0,0,0,2,0,0,1,4,2,0,5,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,46.4616666603088,43.5416666507721,5.01666666666667,100.816666666667,11,2.27272727272727,2,1,4,17756.9833333227,24699.5,3871.94999996821,24699.5,295.949722222046,411.658333333333,64.5324999994702,411.658333333333,12.3312384259186,17.1524305555556,2.68885416664459,17.1524305555556,46.4217171640107,3.54545454545455,3,0,10,0,0,0,6,0,0,7,0,1,0,5,0,4,0,0,0,8,0,0,4,0,0,0,1,0,0,0,6,0,4,5,5,7,4,0,0,6.09090909090909,6,0,11,2,1,1,5
10031,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7333333333333,42.7333333333333,42.7333333333333,42.7333333333333,1,1,1,1,1, , , , , , , , , , , , ,42.7333333333333,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,5,5,5
10033,2,2,2,3,2,1,1,0,1,1,6,3,0,0,7,6,11,0,5,4,1,1,2,0,2,0,0,0,0,0,1,1,0,0,1,1,2,0,2,0,1,2,5,5,2,3,5,2,7,6,2,0,0,0,7,0,0,1,3,4,2,3,1,1,2,7,0,0,2,7,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,0,41.3812500039736,33.7500000317891,4.21666666666667,112.450000031789,24,2.75,2.5,1,5,174893.267708327,99663.1166666984,43717.6833332698,628033.366666667,2914.88779513879,1661.05194444497,728.628055554496,10467.2227777778,121.453658130783,69.2104976852073,30.3595023147707,436.134282407407,41.3812500039737,2.29166666666667,1.5,0,7,1,0,0,12,0,0,16,0,1,1,9,0,8,3,0,0,5,1,0,6,0,1,1,3,0,6,0,15,0,0,6,3,13,0,0,0,4.625,4,1,10,2.70833333333333,3,1,5
10034,1,1,1,4,1,1,5,0,1,1,0,1,0,0,0,8,9,3,0,0,3,2,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,1,1,0,0,2,4,4,2,2,1,2,3,3,5,0,0,0,2,0,2,0,1,1,0,4,1,0,4,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,47.5117647040124,40.9,9.81666666666667,84.4,17,2.35294117647059,1,1,6,179067.739583365,48425.7833333969,116.233333365122,429010.7,2984.46232638942,807.096388889948,1.93722222275204,7150.17833333333,124.352596932892,33.6290162037479,.0807175926146684,297.924097222222,49.3039215630176,2.23529411764706,1,0,10,3,0,0,5,0,3,6,0,0,0,4,0,1,0,0,0,7,1,0,0,0,0,0,5,3,7,0,7,0,3,5,5,5,3,0,0,4.29411764705882,3,0,14,2.35294117647059,3,1,5
10036,1,2,5,1,1,2,1,0,0,0,0,2,0,1,0,8,6,2,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,2,4,1,5,1,2,8,2,1,0,1,0,4,1,1,0,7,4,2,3,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,57.4013888888889,61.1000000158946,12.2166666666667,95.7499999682109,15,3.13333333333333,2,1,6,171584.51666669,228751.133333365,84.6666666666667,228751.133333365,2859.74194444484,3812.51888888942,1.41111111111111,3812.51888888942,119.155914351868,158.854953703726,.0587962962962963,158.854953703726,60.2022222211626,3.13333333333333,2,1,12,0,6,0,7,1,1,11,0,0,0,9,0,9,2,0,0,7,0,0,0,0,0,0,7,0,6,0,7,0,6,6,6,6,6,0,0,6.86666666666667,4,1,14,2.93333333333333,3,1,5
10038,0,0,0,5,3,3,6,1,0,0,1,1,1,0,3,5,11,3,1,6,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,2,2,2,2,8,2,2,3,2,0,2,0,0,6,0,0,0,4,1,0,3,3,1,1,3,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,45.2140350860462,42.7833333333333,5.21666663487752,105.383333365122,20,2.2,1,1,6,47909.1041666667,48043.8916666508,11513.1333333651,84035.5,798.485069444445,800.731527777513,191.885555556085,1400.59166666667,33.2702112268518,33.3638136573964,7.99523148150356,58.3579861111111,44.6641666645474,1.6,1,0,6,0,0,0,8,0,0,8,0,0,0,4,1,4,0,0,0,7,6,0,6,0,2,0,1,0,4,0,4,0,0,2,0,2,0,0,0,2.95,2,0,7,3,3,1,5
